epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.1864,3.45395,7.1779,2.84318,0.00108,0.62121,0.00115,0.00028,2.40978,40.4299,1.90896,0.00014,0.00014,0.00014
2,163.917,3.0785,6.71947,2.55645,0.00056,0.31818,0.00054,0.00016,1.87622,39.0939,1.76674,0.00029406,0.00029406,0.00029406
3,237.375,2.67534,5.04472,2.22209,0.0009,0.51515,0.00121,0.00034,1.73408,38.7593,1.68052,0.000441784,0.000441784,0.000441784
4,314.704,2.48329,4.97455,2.14944,0.00087,0.5,0.0013,0.0004,1.68276,37.6971,1.64179,0.000583172,0.000583172,0.000583172
5,396.627,2.45891,4.7304,2.22042,0.00106,0.60606,0.0017,0.00044,1.71317,35.9808,1.67437,0.000718224,0.000718224,0.000718224
6,477.999,2.50465,4.20624,2.14152,0.00143,0.81818,0.00186,0.00058,1.67409,33.1193,1.58314,0.00084694,0.00084694,0.00084694
7,559.026,2.50353,4.10136,2.09522,0.00093,0.5303,0.00138,0.00047,1.77526,31.4057,1.7951,0.00096932,0.00096932,0.00096932
8,639.017,2.54275,4.37682,2.24204,0.00098,0.56061,0.00103,0.00032,1.72033,28.8904,1.77176,0.00108536,0.00108536,0.00108536
9,709.32,2.39635,3.77487,2.16132,0.00119,0.68182,0.06024,0.02268,1.66927,23.3419,1.68233,0.00119507,0.00119507,0.00119507
10,780.788,2.43312,3.64228,2.16874,0.33776,0.06061,0.16715,0.05199,1.55122,23.0056,1.62644,0.00129844,0.00129844,0.00129844
11,851.163,2.20442,3.27659,2.14771,0.73889,0.21212,0.35749,0.1217,1.68095,18.673,1.74406,0.00139548,0.00139548,0.00139548
12,924.637,2.22232,2.97301,2.07893,0.65365,0.22882,0.29628,0.11292,1.63015,17.2084,1.69865,0.00148618,0.00148618,0.00148618
13,995.542,2.37452,3.13253,2.10595,0.11398,0.42424,0.09402,0.03352,1.61251,18.9351,1.73782,0.0015248,0.0015248,0.0015248
