epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.136,3.13256,4.98584,2.58948,0,0,0,0,2.33429,4.4777,2.0216,0.00032,0.00032,0.00032
2,331.425,2.416,3.33246,2.13061,0,0,0,0,2.17989,4.12665,1.87817,0.000653466,0.000653466,0.000653466
3,483.992,2.29981,2.97967,1.96162,0,0,0,0,2.16749,4.051,2.09387,0.0009802,0.0009802,0.0009802
4,632.989,2.2425,2.68044,1.95768,0,0,0,0,2.34864,4.06595,2.0957,0.0013002,0.0013002,0.0013002
5,790.883,2.21104,2.48848,1.977,0,0,0,0,2.45323,3.6977,2.27911,0.00161347,0.00161347,0.00161347
6,934.533,2.19221,2.51837,1.89578,0,0,0,0,2.42149,3.38065,2.20681,0.001901,0.001901,0.001901
7,1107.25,2.22994,2.36933,2.02287,0,0,0,0,2.48216,3.25179,2.45618,0.0018812,0.0018812,0.0018812
8,1276.42,2.12581,2.24274,1.92042,0.76923,0.07663,0.4228,0.16441,2.14711,2.28443,2.21826,0.0018614,0.0018614,0.0018614
9,1419.13,2.09498,2.07799,1.89606,0.80374,0.3295,0.56135,0.22498,2.05898,2.59905,2.174,0.0018416,0.0018416,0.0018416
10,1573.09,2.08552,2.02248,1.99351,0.79114,0.47893,0.60863,0.19784,2.17585,3.18047,2.42369,0.0018218,0.0018218,0.0018218
11,1729.44,2.11632,1.93483,2.02171,0.87037,0.54023,0.69871,0.25665,2.0825,2.06915,2.25115,0.001802,0.001802,0.001802
12,1873.92,2.02004,1.73415,1.88544,0.93182,0.15709,0.54505,0.2216,2.21643,2.15347,2.40154,0.0017822,0.0017822,0.0017822
13,2020.47,2.08737,1.80422,1.95115,0.72727,0.15326,0.42144,0.16089,2.13558,2.16827,2.12352,0.0017624,0.0017624,0.0017624
14,2158.55,1.94928,1.64133,1.84215,0.95,0.21839,0.58599,0.27416,1.90274,1.63971,2.07242,0.0017426,0.0017426,0.0017426
15,2291.1,1.9616,1.58375,1.85976,1,0.04215,0.52106,0.28419,1.95648,1.65089,2.15026,0.0017228,0.0017228,0.0017228
16,2426.23,1.93132,1.57621,1.84839,1,0.02682,0.5134,0.25857,1.8943,1.58515,2.06199,0.001703,0.001703,0.001703
17,2557.83,1.94853,1.55432,1.83102,0.96667,0.11111,0.5392,0.24069,1.81441,1.5435,1.91587,0.0016832,0.0016832,0.0016832
18,2690.69,1.88123,1.50296,1.81593,0.93506,0.27586,0.60451,0.29946,1.82091,1.44054,1.97579,0.0016634,0.0016634,0.0016634
19,2821.82,1.85683,1.52066,1.83067,0.88462,0.26437,0.56796,0.29466,1.75168,1.4183,1.94594,0.0016436,0.0016436,0.0016436
20,2952.61,1.84772,1.47151,1.80947,1,0.05364,0.52681,0.31596,1.76616,1.35773,1.94092,0.0016238,0.0016238,0.0016238
21,3095.32,1.83351,1.41067,1.81005,1,0.12261,0.56129,0.33538,1.73572,1.36924,1.93008,0.001604,0.001604,0.001604
22,3225.66,1.81822,1.335,1.78874,0.97368,0.14176,0.55624,0.29319,1.88012,1.32607,2.03948,0.0015842,0.0015842,0.0015842
23,3355.65,1.7677,1.33956,1.79992,1,0.36782,0.68389,0.40784,1.62349,1.25093,1.86671,0.0015644,0.0015644,0.0015644
24,3485.44,1.73123,1.21952,1.7029,1,0.32567,0.66282,0.41617,1.65263,1.20158,1.87452,0.0015446,0.0015446,0.0015446
25,3613.71,1.7917,1.24248,1.72897,0.98438,0.48276,0.73517,0.4373,1.59338,1.12497,1.82979,0.0015248,0.0015248,0.0015248
26,3743.22,1.77457,1.3028,1.76402,0.99213,0.48276,0.73871,0.47197,1.52146,1.03943,1.79225,0.001505,0.001505,0.001505
27,3872.68,1.74431,1.21824,1.76066,0.97241,0.54023,0.75959,0.42136,1.62517,1.1248,1.86758,0.0014852,0.0014852,0.0014852
28,4001.63,1.69124,1.25858,1.73618,0.96,0.82759,0.89062,0.47982,1.62546,1.06862,1.93161,0.0014654,0.0014654,0.0014654
29,4131.16,1.64619,1.1284,1.72734,0.9883,0.64751,0.81665,0.48641,1.57904,0.99706,1.81979,0.0014456,0.0014456,0.0014456
30,4263.26,1.64662,1.13374,1.65119,0.96026,0.55556,0.75817,0.42841,1.61545,1.0549,1.82107,0.0014258,0.0014258,0.0014258
31,4392.52,1.62836,1.09406,1.67438,0.94355,0.89655,0.92946,0.56328,1.45097,0.99714,1.74845,0.001406,0.001406,0.001406
32,4521.34,1.61554,1.17276,1.65698,1,0.44444,0.7222,0.44106,1.56324,1.04481,1.78243,0.0013862,0.0013862,0.0013862
33,4650.86,1.61661,1.15702,1.65813,0.99435,0.67433,0.83457,0.51353,1.46181,0.94083,1.7225,0.0013664,0.0013664,0.0013664
34,4779.97,1.57993,1.14174,1.65932,0.9562,0.50192,0.73269,0.42906,1.67495,1.13818,1.90277,0.0013466,0.0013466,0.0013466
35,4908.82,1.5899,1.1299,1.65407,0.99242,0.50192,0.74772,0.45475,1.43817,0.95935,1.70112,0.0013268,0.0013268,0.0013268
36,5039.82,1.62411,1.11487,1.68923,0.9276,0.78544,0.86614,0.45355,1.52742,1.20759,1.76877,0.001307,0.001307,0.001307
37,5172.14,1.62414,1.14278,1.64372,0.98165,0.81992,0.90712,0.58859,1.34527,0.90563,1.64373,0.0012872,0.0012872,0.0012872
38,5302.23,1.57132,1.11301,1.60496,0.99405,0.63985,0.81787,0.51837,1.43946,0.93876,1.69562,0.0012674,0.0012674,0.0012674
39,5431.79,1.57186,1.09093,1.65412,0.99459,0.70498,0.85073,0.57615,1.29494,0.87084,1.61811,0.0012476,0.0012476,0.0012476
40,5560.57,1.49971,1.05408,1.60011,0.99457,0.70115,0.84857,0.58781,1.30179,0.86908,1.6083,0.0012278,0.0012278,0.0012278
41,5690.04,1.5796,1.05402,1.60534,0.99052,0.80077,0.89721,0.62442,1.27533,0.85073,1.61038,0.001208,0.001208,0.001208
42,5821.56,1.48902,1.0822,1.63227,0.97222,0.8046,0.89395,0.53189,1.50146,0.95585,1.73448,0.0011882,0.0011882,0.0011882
43,5951.18,1.45615,1.0112,1.57723,0.97143,0.91188,0.95098,0.65758,1.23573,0.82394,1.56436,0.0011684,0.0011684,0.0011684
44,6081.46,1.51206,0.99574,1.56505,0.9823,0.85057,0.92049,0.61841,1.329,0.79397,1.6178,0.0011486,0.0011486,0.0011486
45,6210.54,1.4725,0.9938,1.56055,0.99052,0.80077,0.89582,0.62728,1.19901,0.80276,1.53086,0.0011288,0.0011288,0.0011288
46,6339.54,1.42795,0.99204,1.5086,1,0.75096,0.87546,0.5713,1.36337,0.8213,1.63347,0.001109,0.001109,0.001109
47,6468.75,1.45726,0.96555,1.53613,0.99015,0.77011,0.88311,0.56584,1.33335,0.86359,1.6132,0.0010892,0.0010892,0.0010892
48,6597.9,1.35978,0.9375,1.4793,0.98507,0.75862,0.87502,0.55858,1.37246,0.90135,1.63632,0.0010694,0.0010694,0.0010694
49,6726.39,1.34469,0.93153,1.45547,0.99548,0.84291,0.921,0.65279,1.24613,0.79136,1.56508,0.0010496,0.0010496,0.0010496
50,6856.77,1.40451,0.9528,1.53535,0.96567,0.86207,0.92313,0.62212,1.29921,0.81265,1.58625,0.0010298,0.0010298,0.0010298
51,6987.22,1.41682,0.92169,1.47951,0.96386,0.91954,0.9497,0.57552,1.32048,0.82967,1.61614,0.00101,0.00101,0.00101
52,7116.87,1.34037,0.94127,1.51415,0.95547,0.90421,0.94331,0.61613,1.23357,0.79677,1.54514,0.0009902,0.0009902,0.0009902
53,7245.73,1.30546,0.92703,1.43546,0.97628,0.94636,0.96857,0.65067,1.22367,0.77049,1.53569,0.0009704,0.0009704,0.0009704
54,7374.81,1.39101,0.8836,1.51081,0.93462,0.93103,0.95719,0.64231,1.23788,0.77143,1.54411,0.0009506,0.0009506,0.0009506
55,7503.49,1.43578,0.90991,1.57188,0.97468,0.88506,0.93743,0.64035,1.31968,0.80358,1.59806,0.0009308,0.0009308,0.0009308
56,7633.19,1.45254,0.99733,1.58554,0.95984,0.91571,0.94847,0.61384,1.2087,0.83848,1.50204,0.000911,0.000911,0.000911
57,7761.47,1.30365,0.9324,1.41667,0.99539,0.82759,0.91163,0.68019,1.10972,0.74197,1.44826,0.0008912,0.0008912,0.0008912
58,7895.05,1.31736,0.91224,1.43072,0.99115,0.85824,0.9281,0.66775,1.11944,0.7142,1.4566,0.0008714,0.0008714,0.0008714
59,8026.68,1.32042,0.88588,1.42892,0.99156,0.90038,0.94748,0.64921,1.22563,0.73586,1.54535,0.0008516,0.0008516,0.0008516
60,8156.31,1.37845,0.90012,1.4554,0.97521,0.90421,0.94754,0.69167,1.12081,0.72926,1.44608,0.0008318,0.0008318,0.0008318
61,8285.58,1.29158,0.91219,1.38466,0.97872,0.88123,0.93739,0.69602,1.112,0.70064,1.45855,0.000812,0.000812,0.000812
62,8413.97,1.2355,0.82818,1.36226,0.9834,0.90805,0.95188,0.68371,1.12187,0.71618,1.44645,0.0007922,0.0007922,0.0007922
63,8543.08,1.30187,0.89637,1.41191,0.96863,0.94636,0.97044,0.71414,1.04183,0.70093,1.39294,0.0007724,0.0007724,0.0007724
64,8673.25,1.24824,0.84259,1.38363,0.9761,0.9387,0.96611,0.7274,1.01255,0.68227,1.36843,0.0007526,0.0007526,0.0007526
65,8802.87,1.29514,0.86822,1.4399,0.96825,0.93487,0.96404,0.70231,1.09492,0.68836,1.42306,0.0007328,0.0007328,0.0007328
66,8932.24,1.20217,0.83654,1.38332,0.98739,0.90038,0.94922,0.72772,1.02642,0.68777,1.38345,0.000713,0.000713,0.000713
67,9060.97,1.28824,0.89555,1.45128,0.96875,0.95019,0.97133,0.73154,1.01224,0.68138,1.36529,0.0006932,0.0006932,0.0006932
68,9190.41,1.25155,0.83275,1.402,0.98381,0.93103,0.96279,0.72126,1.04077,0.66285,1.3863,0.0006734,0.0006734,0.0006734
69,9319.62,1.18363,0.81848,1.36553,0.97951,0.91571,0.95625,0.72919,1.00998,0.64467,1.36381,0.0006536,0.0006536,0.0006536
70,9448.65,1.21604,0.8067,1.35638,0.97177,0.92337,0.95977,0.69519,1.09347,0.65498,1.41599,0.0006338,0.0006338,0.0006338
71,9577.69,1.24519,0.80732,1.38384,0.9875,0.90805,0.95307,0.73608,1.01567,0.64562,1.35703,0.000614,0.000614,0.000614
72,9708.76,1.21116,0.80039,1.36087,0.97531,0.90805,0.9494,0.71011,1.05198,0.68141,1.38007,0.0005942,0.0005942,0.0005942
73,9843.12,1.18709,0.79422,1.35342,1,0.85057,0.92527,0.73621,0.96558,0.64118,1.33462,0.0005744,0.0005744,0.0005744
74,9972.25,1.20409,0.85103,1.3979,0.99567,0.88123,0.93981,0.74891,0.92605,0.64069,1.30706,0.0005546,0.0005546,0.0005546
75,10101.3,1.16582,0.7734,1.3414,0.976,0.93487,0.9647,0.75167,0.98103,0.63567,1.3578,0.0005348,0.0005348,0.0005348
76,10230.1,1.10155,0.75347,1.29698,0.96863,0.94636,0.96953,0.74802,0.97089,0.62008,1.34157,0.000515,0.000515,0.000515
77,10358.1,1.13887,0.78066,1.36325,0.98444,0.96935,0.98201,0.77504,0.93517,0.61384,1.31828,0.0004952,0.0004952,0.0004952
78,10488.6,1.10035,0.74574,1.2962,0.97683,0.96935,0.98219,0.75527,0.95935,0.61907,1.32275,0.0004754,0.0004754,0.0004754
79,10617.3,1.14344,0.76282,1.36884,0.97683,0.96935,0.9822,0.74157,0.99199,0.64059,1.34303,0.0004556,0.0004556,0.0004556
80,10747,1.12127,0.76192,1.3007,0.97297,0.96552,0.97953,0.75294,0.96167,0.6274,1.30244,0.0004358,0.0004358,0.0004358
81,10875.1,1.08644,0.71361,1.31528,0.9542,0.95785,0.97488,0.77481,0.91786,0.60425,1.27995,0.000416,0.000416,0.000416
82,11003.6,1.12688,0.74856,1.33021,0.96169,0.96169,0.97772,0.79495,0.87343,0.58536,1.24545,0.0003962,0.0003962,0.0003962
83,11131.5,1.07579,0.71965,1.30907,0.96512,0.95402,0.9742,0.79043,0.8562,0.59161,1.2418,0.0003764,0.0003764,0.0003764
84,11260.6,1.0805,0.71517,1.30008,0.97328,0.97701,0.98643,0.78642,0.86851,0.58632,1.2519,0.0003566,0.0003566,0.0003566
85,11389.1,1.11628,0.71448,1.28739,0.9845,0.97318,0.98457,0.78704,0.87745,0.59587,1.25034,0.0003368,0.0003368,0.0003368
86,11518.1,1.12265,0.73859,1.26337,0.98394,0.9387,0.96673,0.79133,0.83388,0.58217,1.23002,0.000317,0.000317,0.000317
87,11647.5,1.11383,0.71477,1.33581,0.98406,0.94636,0.971,0.80151,0.80857,0.56648,1.21935,0.0002972,0.0002972,0.0002972
88,11776.1,1.04422,0.73268,1.29123,0.98024,0.95019,0.97338,0.79476,0.83449,0.56536,1.2344,0.0002774,0.0002774,0.0002774
89,11904.7,1.03941,0.72358,1.26877,0.98805,0.95019,0.97378,0.80186,0.83258,0.57378,1.21611,0.0002576,0.0002576,0.0002576
90,12033.1,1.03899,0.70664,1.26766,0.97266,0.95402,0.97472,0.80062,0.83213,0.57716,1.21348,0.0002378,0.0002378,0.0002378
91,12160.6,1.03252,0.68103,1.38793,0.97656,0.95785,0.97671,0.81382,0.79987,0.55634,1.19783,0.000218,0.000218,0.000218
92,12289.4,0.99812,0.64142,1.28959,0.98367,0.92337,0.95898,0.78884,0.86507,0.56561,1.23153,0.0001982,0.0001982,0.0001982
93,12416.9,0.98918,0.62611,1.31466,0.98326,0.90038,0.9475,0.778,0.85298,0.56966,1.22857,0.0001784,0.0001784,0.0001784
94,12548.4,0.91641,0.61358,1.2769,0.97656,0.95785,0.97513,0.80796,0.78334,0.55465,1.18744,0.0001586,0.0001586,0.0001586
95,12675.5,0.91494,0.60993,1.28449,0.96911,0.96169,0.97672,0.81416,0.76761,0.55174,1.17791,0.0001388,0.0001388,0.0001388
96,12802.3,0.88847,0.59598,1.27334,0.95385,0.95019,0.97021,0.7891,0.83109,0.55761,1.21354,0.000119,0.000119,0.000119
97,12929.6,0.88278,0.58657,1.2593,0.96525,0.95785,0.97446,0.81461,0.76529,0.53973,1.17376,9.92e-05,9.92e-05,9.92e-05
98,13057.3,0.91769,0.62438,1.27999,0.96911,0.96169,0.97676,0.82716,0.74272,0.531,1.15847,7.94e-05,7.94e-05,7.94e-05
99,13184.5,0.89471,0.61013,1.27238,0.97276,0.95785,0.97497,0.82332,0.7441,0.53522,1.15915,5.96e-05,5.96e-05,5.96e-05
100,13314.9,0.84628,0.58897,1.26061,0.96498,0.95019,0.97125,0.79813,0.80403,0.54689,1.18994,3.98e-05,3.98e-05,3.98e-05
